id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,CUMULATIVE_AVERAGES,home_avg_points_scored_so_far,home_avg_points_allowed_so_far,away_avg_points_scored_so_far,away_avg_points_allowed_so_far,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10
372347,2023-11-09 00:00:00+00:00,2023-2024,143,Indiana Pacers,160,Utah Jazz,29,38,34,33,0.0,134,29,31,38,20,0.0,118,16,AVERAGES:,120.36363636363636,119.72727272727273,112.0,117.41666666666667,L10AVERAGES:,120.2,119.0,114.5,121.0
372346,2023-11-09 00:00:00+00:00,2023-2024,135,Charlotte Hornets,161,Washington Wizards,29,17,38,32,0.0,116,24,41,38,29,0.0,132,-16,AVERAGES:,111.5,118.3,114.44444444444444,122.66666666666667,L10AVERAGES:,111.5,118.3,114.44444444444444,122.66666666666667
372348,2023-11-09 00:00:00+00:00,2023-2024,154,Philadelphia 76ers,133,Boston Celtics,22,39,20,25,0.0,106,27,27,17,32,0.0,103,3,AVERAGES:,118.3,110.1,120.36363636363636,107.63636363636364,L10AVERAGES:,118.3,110.1,121.0,107.8
372350,2023-11-09 00:30:00+00:00,2023-2024,151,New York Knicks,158,San Antonio Spurs,33,32,34,27,0.0,126,16,35,21,33,0.0,105,21,AVERAGES:,106.63636363636364,109.0,114.25,118.83333333333333,L10AVERAGES:,105.9,109.2,113.0,120.0
372349,2023-11-09 00:30:00+00:00,2023-2024,134,Brooklyn Nets,144,Los Angeles Clippers,13,33,27,27,0.0,100,21,28,22,22,0.0,93,7,AVERAGES:,117.5,118.5,110.9,106.2,L10AVERAGES:,117.5,118.5,110.9,106.2
372351,2023-11-09 01:00:00+00:00,2023-2024,136,Chicago Bulls,155,Phoenix Suns,28,29,27,23,8.0,115,36,21,31,19,9.0,116,-1,AVERAGES:,108.38461538461539,113.38461538461539,115.25,110.91666666666667,L10AVERAGES:,107.2,112.9,114.6,109.0
372352,2023-11-09 01:00:00+00:00,2023-2024,142,Houston Rockets,145,Los Angeles Lakers,32,34,33,29,0.0,128,19,26,26,23,0.0,94,34,AVERAGES:,110.36363636363636,104.81818181818181,111.23076923076923,116.46153846153847,L10AVERAGES:,109.2,105.0,110.0,116.2
372353,2023-11-09 01:00:00+00:00,2023-2024,146,Memphis Grizzlies,147,Miami Heat,26,20,30,26,0.0,102,33,21,23,31,0.0,108,-6,AVERAGES:,111.25,115.66666666666667,109.08333333333333,112.41666666666667,L10AVERAGES:,110.0,116.4,109.2,112.0
372354,2023-11-09 01:00:00+00:00,2023-2024,148,Milwaukee Bucks,140,Detroit Pistons,24,38,28,30,0.0,120,23,29,43,23,0.0,118,2,AVERAGES:,112.72727272727273,115.0,112.58333333333333,115.66666666666667,L10AVERAGES:,113.5,116.3,109.7,113.3
372355,2023-11-09 01:00:00+00:00,2023-2024,149,Minnesota Timberwolves,150,New Orleans Pelicans,28,44,25,25,0.0,122,24,20,24,33,0.0,101,21,AVERAGES:,111.0,101.9,106.0,113.0909090909091,L10AVERAGES:,111.0,101.9,106.1,112.2
372356,2023-11-09 01:00:00+00:00,2023-2024,152,Oklahoma City Thunder,137,Cleveland Cavaliers,36,34,29,29,0.0,128,29,28,30,33,0.0,120,8,AVERAGES:,118.66666666666667,116.83333333333333,106.5,109.4,L10AVERAGES:,117.7,115.3,106.5,109.4
